City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Kashmor,PK,2022-06-21 14:56:11,28.4333,69.5833,88.83,44,0,20.09
202,Novyy Urengoy,RU,2022-06-21 14:56:12,66.0833,76.6333,79.92,37,60,15.73
203,Bajil,YE,2022-06-21 14:56:12,15.0584,43.2851,95.68,35,65,17.02
204,Katsuura,JP,2022-06-21 14:56:12,35.1333,140.3,71.62,98,100,10.56
205,Sioux Lookout,CA,2022-06-21 14:56:13,50.1001,-91.917,68.07,100,100,6.91
206,Upernavik,GL,2022-06-21 14:56:13,72.7868,-56.1549,34.34,99,100,2.39
207,Balykshi,KZ,2022-06-21 14:56:13,47.0667,51.8667,84.2,34,40,20.13
208,Qaanaaq,GL,2022-06-21 14:56:14,77.484,-69.3632,38.43,70,9,4.05
209,Hofn,IS,2022-06-21 14:56:14,64.2539,-15.2082,47.75,86,100,10.78
210,Makakilo City,US,2022-06-21 14:56:15,21.3469,-158.0858,74.01,73,5,11.21
211,Tsiroanomandidy,MG,2022-06-21 14:56:15,-18.7667,46.0333,65.41,39,0,3.65
212,Bambous Virieux,MU,2022-06-21 14:56:15,-20.3428,57.7575,70.05,64,20,6.91
213,Slave Lake,CA,2022-06-21 14:56:16,55.2834,-114.769,53.58,87,75,3.44
214,Tiznit,MA,2022-06-21 14:56:16,29.5833,-9.5,75.81,54,47,10.33
215,Burns Lake,CA,2022-06-21 14:56:17,54.2331,-125.7533,49.42,97,100,1.95
216,Xining,CN,2022-06-21 14:52:48,36.6167,101.7667,61.97,71,100,4.56
217,Katakwi,UG,2022-06-21 14:56:17,1.8911,33.9661,74.39,65,92,4.52
218,Grand-Lahou,CI,2022-06-21 14:56:17,5.1367,-5.0242,80.71,76,77,7.4
219,Tracy,US,2022-06-21 14:56:18,37.7397,-121.4252,77.7,33,0,8.01
220,Taoudenni,ML,2022-06-21 14:56:18,22.6783,-3.9836,109.13,12,3,5.1
221,Bronnoysund,NO,2022-06-21 14:56:18,65.4625,12.1997,48.2,87,75,5.99
222,Arraial Do Cabo,BR,2022-06-21 14:57:20,-22.9661,-42.0278,76.96,73,40,16.11
223,Half Moon Bay,US,2022-06-21 14:53:02,37.4636,-122.4286,77.25,60,0,0.0
224,Kanniyakumari,IN,2022-06-21 14:57:20,8.0833,77.5667,80.46,79,100,21.56
225,Mahon,ES,2022-06-21 14:57:21,39.8885,4.2658,93.76,29,0,9.22
226,Angren,UZ,2022-06-21 14:57:21,41.0167,70.1436,67.17,60,84,2.55
227,Matozinhos,BR,2022-06-21 14:57:21,-19.5578,-44.0814,73.08,60,20,6.91
228,Pevek,RU,2022-06-21 14:57:22,69.7008,170.3133,26.76,96,86,5.3
229,Wenatchee,US,2022-06-21 14:57:22,47.4235,-120.3103,64.98,58,79,3.0
230,Westport,US,2022-06-21 14:54:06,41.1415,-73.3579,79.18,68,100,1.01
231,Muravlenko,RU,2022-06-21 14:57:23,63.7898,74.523,72.59,54,71,11.41
232,Nandu,CN,2022-06-21 14:57:23,22.8525,110.8233,79.5,90,100,3.31
233,Port-Gentil,GA,2022-06-21 14:57:23,-0.7193,8.7815,78.76,73,20,18.41
234,Cap Malheureux,MU,2022-06-21 14:57:24,-19.9842,57.6142,71.69,58,0,13.89
235,Kita,ML,2022-06-21 14:57:24,13.0349,-9.4895,97.65,28,79,6.98
236,Aksu,CN,2022-06-21 14:57:24,41.1231,80.2644,81.57,22,100,6.85
237,Nanortalik,GL,2022-06-21 14:57:25,60.1432,-45.2371,40.21,81,31,18.45
238,Picos,BR,2022-06-21 14:57:25,-7.0769,-41.4669,86.68,45,95,13.73
239,Honningsvag,NO,2022-06-21 14:57:26,70.9821,25.9704,55.15,58,0,10.36
240,Humberto De Campos,BR,2022-06-21 14:57:26,-2.5983,-43.4611,85.69,59,76,7.27
241,Marienburg,PL,2022-06-21 14:57:27,54.0359,19.0266,68.11,59,48,16.04
242,Nimbahera,IN,2022-06-21 14:57:27,24.6167,74.6833,90.86,38,44,13.15
243,Constitucion,CL,2022-06-21 14:57:27,-35.3333,-72.4167,54.57,76,100,12.26
244,Vilyuysk,RU,2022-06-21 14:57:28,63.7553,121.6247,52.54,43,100,4.34
245,Breytovo,RU,2022-06-21 14:57:28,58.2993,37.8617,60.64,69,13,6.4
246,Leshukonskoye,RU,2022-06-21 14:57:29,64.8989,45.7622,56.57,60,100,8.03
247,Piranshahr,IR,2022-06-21 14:57:29,36.701,45.1413,82.81,18,0,10.2
248,Vanimo,PG,2022-06-21 14:57:29,-2.6741,141.3028,77.79,83,39,3.33
249,Coahuayana,MX,2022-06-21 14:57:30,18.7333,-103.6833,86.36,66,100,0.76
250,Okhotsk,RU,2022-06-21 14:57:30,59.3833,143.3,44.55,95,100,7.09
251,Aliwal North,ZA,2022-06-21 14:54:13,-30.6937,26.7114,59.94,39,61,1.54
252,Kieta,PG,2022-06-21 14:57:30,-6.2167,155.6333,78.13,83,25,4.47
253,Ozernovskiy,RU,2022-06-21 14:57:31,51.5,156.5167,45.54,95,86,2.1
254,Gondar,ET,2022-06-21 14:57:31,12.6,37.4667,64.69,68,83,10.2
255,Roald,NO,2022-06-21 14:57:31,62.5833,6.1333,52.32,76,75,4.61
256,Marquette,US,2022-06-21 14:57:32,46.5333,-87.6335,83.82,62,100,13.02
257,Leh,IN,2022-06-21 14:57:32,34.1667,77.5833,56.12,46,100,6.6
258,Buala,SB,2022-06-21 14:57:32,-8.145,159.5921,79.05,82,8,5.41
259,Santiago,CL,2022-06-21 14:55:20,-33.4569,-70.6483,52.86,69,75,3.44
